Pos,P+,Artist,Title,Wks,Pk,(x?),Streams,Streams+,Total
76,-11,Rosa Linn ,SNAP,34,16,,10994798,-672536.0,508741162
77,+6,The Weeknd ,I Was Never There,39,17,,10954096,906715.0,379027332
78,+42,Lewis Capaldi ,Someone You Loved,216,4,,10693394,1841555.0,2602492551
79,+85,The Weeknd ,Reminder,16,27,,10674782,2741455.0,83808046
80,+42,TINI ,Cupido,2,80,,10622722,1820018.0,19425426
81,-12,Stephen Sanchez ,Until I Found You,43,20,,10529886,-113365.0,557106546
82,-20,Marília Mendonça ,Leão,9,48,,10446133,-1720630.0,110185321
83,-17,Central Cee ,LET GO,11,19,,10367223,-1192696.0,177499760
84,NEW,KAROL G ,PERO TÚ,1,84,,10326847,,10326847
85,-5,Ruth B. ,Dandelions,81,34,,10294563,186258.0,759204529
86,+14,New West ,Those Eyes,9,86,,10285292,842931.0,78387835
87,-60,Leo Santana ,Zona De Perigo,4,26,,10198950,-6062515.0,59000236
88,NEW,KAROL G ,TUS GAFITAS,1,88,,10188274,,10188274
89,+1,Ed Sheeran ,Perfect,311,4,,10177214,428811.0,2311736096
90,+11,The Weeknd ,Save Your Tears,117,2,4,10172648,747556.0,1293280387
91,+67,The Weeknd ,Save Your Tears (Remix),47,43,,10172117,2177483.0,364419462
92,-22,ROSALÍA ,DESPECHÁ,31,5,,10134064,-464071.0,604837151
93,-9,Sabrina Carpenter ,Nonsense,7,17,,10109106,125231.0,90146973
94,-20,Joji ,Glimpse of Us,38,1,1,9992326,-346303.0,775556066
95,-17,Elton John ,Cold Heart,81,4,,9944215,-253738.0,1388794442
96,-8,SZA ,Low,12,29,,9892822,66547.0,138819580
97,+8,Billie Eilish ,lovely,254,24,,9683071,383340.0,2098789064
98,+4,Harry Styles ,Late Night Talking,41,2,1,9676072,261412.0,581679112
99,-28,Mahalini ,Sial,3,71,,9675406,-898158.0,30983604
100,RE,KAROL G ,GATÚBELA,17,33,,9660067,,171667433
101,+6,Cris Mj ,Marisola,10,72,,9642783,399652.0,97154402
102,-4,Feid ,Normal,30,57,,9633379,179444.0,240334767
103,=,INTERWORLD ,METAMORPHOSIS,11,96,,9615002,205686.0,97957114
104,-10,Arctic Monkeys ,505,61,43,,9512829,-57445.0,563023262
105,+7,Harry Styles ,Watermelon Sugar,172,4,,9512820,475315.0,2101461856
